Resuming training from epoch 5 using C:\Users\Administrator\Downloads\RawNet2\artifacts\rawnet2_ljspeech_aug\train_state.pt
Device: cuda
Training files: 38480
Validation files: 24844
Run directory: C:\Users\Administrator\Downloads\RawNet2\artifacts\rawnet2_ljspeech_aug
Train label sources | asvspoof=25380 | ljspeech_bonafide=13100
[Train] epoch 005 batch 0001/1203 loss=0.00932 avg_loss=0.00932 avg_acc=100.00
[Train] epoch 005 batch 0010/1203 loss=0.00099 avg_loss=0.02062 avg_acc=99.06
[Train] epoch 005 batch 0020/1203 loss=0.00137 avg_loss=0.01425 avg_acc=99.06
[Train] epoch 005 batch 0030/1203 loss=0.00081 avg_loss=0.01100 avg_acc=99.27
[Train] epoch 005 batch 0040/1203 loss=0.00053 avg_loss=0.01049 avg_acc=99.30
[Train] epoch 005 batch 0050/1203 loss=0.00688 avg_loss=0.01409 avg_acc=99.19
[Train] epoch 005 batch 0060/1203 loss=0.00332 avg_loss=0.01450 avg_acc=99.01
[Train] epoch 005 batch 0070/1203 loss=0.00271 avg_loss=0.01479 avg_acc=99.02
[Train] epoch 005 batch 0080/1203 loss=0.03380 avg_loss=0.01417 avg_acc=98.98
[Train] epoch 005 batch 0090/1203 loss=0.00216 avg_loss=0.01297 avg_acc=99.10
[Train] epoch 005 batch 0100/1203 loss=0.01175 avg_loss=0.01203 avg_acc=99.16
[Train] epoch 005 batch 0110/1203 loss=0.00068 avg_loss=0.01101 avg_acc=99.23
[Train] epoch 005 batch 0120/1203 loss=0.00614 avg_loss=0.01117 avg_acc=99.24
[Train] epoch 005 batch 0130/1203 loss=0.00008 avg_loss=0.01089 avg_acc=99.28
[Train] epoch 005 batch 0140/1203 loss=0.00061 avg_loss=0.01029 avg_acc=99.26
[Train] epoch 005 batch 0150/1203 loss=0.00171 avg_loss=0.01049 avg_acc=99.23
[Train] epoch 005 batch 0160/1203 loss=0.00015 avg_loss=0.01015 avg_acc=99.24
[Train] epoch 005 batch 0170/1203 loss=0.00055 avg_loss=0.01001 avg_acc=99.25
[Train] epoch 005 batch 0180/1203 loss=0.00006 avg_loss=0.00972 avg_acc=99.29
[Train] epoch 005 batch 0190/1203 loss=0.02189 avg_loss=0.00948 avg_acc=99.29
[Train] epoch 005 batch 0200/1203 loss=0.00012 avg_loss=0.00982 avg_acc=99.23
[Train] epoch 005 batch 0210/1203 loss=0.00508 avg_loss=0.00945 avg_acc=99.27
[Train] epoch 005 batch 0220/1203 loss=0.00065 avg_loss=0.00920 avg_acc=99.30
[Train] epoch 005 batch 0230/1203 loss=0.00009 avg_loss=0.00884 avg_acc=99.33
[Train] epoch 005 batch 0240/1203 loss=0.00089 avg_loss=0.00868 avg_acc=99.35
[Train] epoch 005 batch 0250/1203 loss=0.00006 avg_loss=0.00852 avg_acc=99.36
[Train] epoch 005 batch 0260/1203 loss=0.00029 avg_loss=0.00905 avg_acc=99.34
[Train] epoch 005 batch 0270/1203 loss=0.00187 avg_loss=0.00992 avg_acc=99.32
[Train] epoch 005 batch 0280/1203 loss=0.00806 avg_loss=0.01064 avg_acc=99.26
[Train] epoch 005 batch 0290/1203 loss=0.00471 avg_loss=0.01070 avg_acc=99.25
[Train] epoch 005 batch 0300/1203 loss=0.00680 avg_loss=0.01168 avg_acc=99.21
[Train] epoch 005 batch 0310/1203 loss=0.00750 avg_loss=0.01219 avg_acc=99.13
[Train] epoch 005 batch 0320/1203 loss=0.00233 avg_loss=0.01214 avg_acc=99.13
[Train] epoch 005 batch 0330/1203 loss=0.00753 avg_loss=0.01202 avg_acc=99.14
[Train] epoch 005 batch 0340/1203 loss=0.00017 avg_loss=0.01170 avg_acc=99.16
[Train] epoch 005 batch 0350/1203 loss=0.00025 avg_loss=0.01192 avg_acc=99.15
[Train] epoch 005 batch 0360/1203 loss=0.02325 avg_loss=0.01170 avg_acc=99.18
[Train] epoch 005 batch 0370/1203 loss=0.00037 avg_loss=0.01157 avg_acc=99.19
[Train] epoch 005 batch 0380/1203 loss=0.04963 avg_loss=0.01189 avg_acc=99.14
[Train] epoch 005 batch 0390/1203 loss=0.00131 avg_loss=0.01167 avg_acc=99.15
[Train] epoch 005 batch 0400/1203 loss=0.00139 avg_loss=0.01228 avg_acc=99.14
[Train] epoch 005 batch 0410/1203 loss=0.00547 avg_loss=0.01237 avg_acc=99.12
[Train] epoch 005 batch 0420/1203 loss=0.00422 avg_loss=0.01239 avg_acc=99.10
[Train] epoch 005 batch 0430/1203 loss=0.00097 avg_loss=0.01215 avg_acc=99.12
[Train] epoch 005 batch 0440/1203 loss=0.00164 avg_loss=0.01197 avg_acc=99.13
[Train] epoch 005 batch 0450/1203 loss=0.00030 avg_loss=0.01172 avg_acc=99.15
[Train] epoch 005 batch 0460/1203 loss=0.00012 avg_loss=0.01152 avg_acc=99.17
[Train] epoch 005 batch 0470/1203 loss=0.00019 avg_loss=0.01131 avg_acc=99.18
[Train] epoch 005 batch 0480/1203 loss=0.00020 avg_loss=0.01141 avg_acc=99.17
[Train] epoch 005 batch 0490/1203 loss=0.00004 avg_loss=0.01133 avg_acc=99.16
[Train] epoch 005 batch 0500/1203 loss=0.00012 avg_loss=0.01119 avg_acc=99.17
[Train] epoch 005 batch 0510/1203 loss=0.00011 avg_loss=0.01098 avg_acc=99.19
[Train] epoch 005 batch 0520/1203 loss=0.00008 avg_loss=0.01080 avg_acc=99.20
[Train] epoch 005 batch 0530/1203 loss=0.00151 avg_loss=0.01089 avg_acc=99.20
[Train] epoch 005 batch 0540/1203 loss=0.00290 avg_loss=0.01119 avg_acc=99.19
[Train] epoch 005 batch 0550/1203 loss=0.00102 avg_loss=0.01107 avg_acc=99.20
[Train] epoch 005 batch 0560/1203 loss=0.00046 avg_loss=0.01089 avg_acc=99.22
[Train] epoch 005 batch 0570/1203 loss=0.00145 avg_loss=0.01093 avg_acc=99.22
[Train] epoch 005 batch 0580/1203 loss=0.00196 avg_loss=0.01081 avg_acc=99.22
[Train] epoch 005 batch 0590/1203 loss=0.02181 avg_loss=0.01085 avg_acc=99.22
[Train] epoch 005 batch 0600/1203 loss=0.00956 avg_loss=0.01080 avg_acc=99.22
[Train] epoch 005 batch 0610/1203 loss=0.00027 avg_loss=0.01064 avg_acc=99.24
[Train] epoch 005 batch 0620/1203 loss=0.00064 avg_loss=0.01049 avg_acc=99.25
[Train] epoch 005 batch 0630/1203 loss=0.00011 avg_loss=0.01047 avg_acc=99.26
[Train] epoch 005 batch 0640/1203 loss=0.00055 avg_loss=0.01042 avg_acc=99.25
[Train] epoch 005 batch 0650/1203 loss=0.00041 avg_loss=0.01034 avg_acc=99.26
[Train] epoch 005 batch 0660/1203 loss=0.00082 avg_loss=0.01054 avg_acc=99.25
[Train] epoch 005 batch 0670/1203 loss=0.00343 avg_loss=0.01070 avg_acc=99.24
[Train] epoch 005 batch 0680/1203 loss=0.01830 avg_loss=0.01087 avg_acc=99.20
[Train] epoch 005 batch 0690/1203 loss=0.01685 avg_loss=0.01084 avg_acc=99.21
[Train] epoch 005 batch 0700/1203 loss=0.00419 avg_loss=0.01105 avg_acc=99.21
[Train] epoch 005 batch 0710/1203 loss=0.00193 avg_loss=0.01103 avg_acc=99.20
[Train] epoch 005 batch 0720/1203 loss=0.00094 avg_loss=0.01093 avg_acc=99.21
[Train] epoch 005 batch 0730/1203 loss=0.01623 avg_loss=0.01092 avg_acc=99.20
[Train] epoch 005 batch 0740/1203 loss=0.00272 avg_loss=0.01081 avg_acc=99.21
[Train] epoch 005 batch 0750/1203 loss=0.00025 avg_loss=0.01067 avg_acc=99.22
[Train] epoch 005 batch 0760/1203 loss=0.00008 avg_loss=0.01058 avg_acc=99.23
[Train] epoch 005 batch 0770/1203 loss=0.00049 avg_loss=0.01045 avg_acc=99.24
[Train] epoch 005 batch 0780/1203 loss=0.00072 avg_loss=0.01032 avg_acc=99.25
[Train] epoch 005 batch 0790/1203 loss=0.00004 avg_loss=0.01019 avg_acc=99.26
[Train] epoch 005 batch 0800/1203 loss=0.00944 avg_loss=0.01012 avg_acc=99.27
[Train] epoch 005 batch 0810/1203 loss=0.00038 avg_loss=0.01001 avg_acc=99.27
[Train] epoch 005 batch 0820/1203 loss=0.08317 avg_loss=0.00999 avg_acc=99.28
[Train] epoch 005 batch 0830/1203 loss=0.00324 avg_loss=0.00991 avg_acc=99.28
[Train] epoch 005 batch 0840/1203 loss=0.00098 avg_loss=0.00980 avg_acc=99.29
[Train] epoch 005 batch 0850/1203 loss=0.00021 avg_loss=0.00980 avg_acc=99.29
[Train] epoch 005 batch 0860/1203 loss=0.00171 avg_loss=0.00974 avg_acc=99.30
[Train] epoch 005 batch 0870/1203 loss=0.00062 avg_loss=0.00980 avg_acc=99.30
[Train] epoch 005 batch 0880/1203 loss=0.00044 avg_loss=0.00979 avg_acc=99.29
[Train] epoch 005 batch 0890/1203 loss=0.00073 avg_loss=0.01003 avg_acc=99.30
[Train] epoch 005 batch 0900/1203 loss=0.01587 avg_loss=0.01017 avg_acc=99.28
[Train] epoch 005 batch 0910/1203 loss=0.00301 avg_loss=0.01035 avg_acc=99.26
[Train] epoch 005 batch 0920/1203 loss=0.00499 avg_loss=0.01044 avg_acc=99.25
[Train] epoch 005 batch 0930/1203 loss=0.00163 avg_loss=0.01066 avg_acc=99.22
[Train] epoch 005 batch 0940/1203 loss=0.01404 avg_loss=0.01078 avg_acc=99.20
[Train] epoch 005 batch 0950/1203 loss=0.00130 avg_loss=0.01074 avg_acc=99.20
[Train] epoch 005 batch 0960/1203 loss=0.00135 avg_loss=0.01066 avg_acc=99.21
[Train] epoch 005 batch 0970/1203 loss=0.00172 avg_loss=0.01057 avg_acc=99.21
[Train] epoch 005 batch 0980/1203 loss=0.01237 avg_loss=0.01075 avg_acc=99.21
[Train] epoch 005 batch 0990/1203 loss=0.00234 avg_loss=0.01078 avg_acc=99.20
[Train] epoch 005 batch 1000/1203 loss=0.00182 avg_loss=0.01070 avg_acc=99.21
[Train] epoch 005 batch 1010/1203 loss=0.00044 avg_loss=0.01062 avg_acc=99.21
[Train] epoch 005 batch 1020/1203 loss=0.00012 avg_loss=0.01054 avg_acc=99.22
[Train] epoch 005 batch 1030/1203 loss=0.00671 avg_loss=0.01046 avg_acc=99.23
[Train] epoch 005 batch 1040/1203 loss=0.00235 avg_loss=0.01044 avg_acc=99.23
[Train] epoch 005 batch 1050/1203 loss=0.00022 avg_loss=0.01056 avg_acc=99.22
[Train] epoch 005 batch 1060/1203 loss=0.11684 avg_loss=0.01058 avg_acc=99.22
[Train] epoch 005 batch 1070/1203 loss=0.00384 avg_loss=0.01052 avg_acc=99.23
[Train] epoch 005 batch 1080/1203 loss=0.01551 avg_loss=0.01048 avg_acc=99.23
[Train] epoch 005 batch 1090/1203 loss=0.00052 avg_loss=0.01045 avg_acc=99.22
[Train] epoch 005 batch 1100/1203 loss=0.00169 avg_loss=0.01040 avg_acc=99.23
[Train] epoch 005 batch 1110/1203 loss=0.03213 avg_loss=0.01036 avg_acc=99.23
[Train] epoch 005 batch 1120/1203 loss=0.00718 avg_loss=0.01039 avg_acc=99.23
[Train] epoch 005 batch 1130/1203 loss=0.00090 avg_loss=0.01032 avg_acc=99.23
[Train] epoch 005 batch 1140/1203 loss=0.00023 avg_loss=0.01033 avg_acc=99.24
[Train] epoch 005 batch 1150/1203 loss=0.00092 avg_loss=0.01032 avg_acc=99.23
[Train] epoch 005 batch 1160/1203 loss=0.00230 avg_loss=0.01043 avg_acc=99.24
[Train] epoch 005 batch 1170/1203 loss=0.00410 avg_loss=0.01040 avg_acc=99.24
[Train] epoch 005 batch 1180/1203 loss=0.00333 avg_loss=0.01036 avg_acc=99.24
[Train] epoch 005 batch 1190/1203 loss=0.00022 avg_loss=0.01029 avg_acc=99.24
[Train] epoch 005 batch 1200/1203 loss=0.00118 avg_loss=0.01023 avg_acc=99.25
[Train] epoch 005 batch 1203/1203 loss=0.00181 avg_loss=0.01021 avg_acc=99.25
Epoch 005 | train_loss=0.01021 | train_acc=99.25 | dev_acc=97.68
[Train] epoch 006 batch 0001/1203 loss=0.00045 avg_loss=0.00045 avg_acc=100.00
[Train] epoch 006 batch 0010/1203 loss=0.00003 avg_loss=0.00739 avg_acc=99.69
[Train] epoch 006 batch 0020/1203 loss=0.00299 avg_loss=0.00808 avg_acc=99.53
[Train] epoch 006 batch 0030/1203 loss=0.00184 avg_loss=0.02551 avg_acc=99.17
[Train] epoch 006 batch 0040/1203 loss=0.00875 avg_loss=0.02441 avg_acc=99.06
[Train] epoch 006 batch 0050/1203 loss=0.00346 avg_loss=0.02618 avg_acc=98.31
[Train] epoch 006 batch 0060/1203 loss=0.00113 avg_loss=0.02248 avg_acc=98.54
[Train] epoch 006 batch 0070/1203 loss=0.02187 avg_loss=0.01985 avg_acc=98.66
[Train] epoch 006 batch 0080/1203 loss=0.00013 avg_loss=0.01803 avg_acc=98.83
[Train] epoch 006 batch 0090/1203 loss=0.00006 avg_loss=0.01604 avg_acc=98.96
[Train] epoch 006 batch 0100/1203 loss=0.00079 avg_loss=0.01524 avg_acc=99.03
[Train] epoch 006 batch 0110/1203 loss=0.00010 avg_loss=0.01398 avg_acc=99.12
[Train] epoch 006 batch 0120/1203 loss=0.00005 avg_loss=0.01381 avg_acc=99.09
[Train] epoch 006 batch 0130/1203 loss=0.00014 avg_loss=0.01285 avg_acc=99.16
[Train] epoch 006 batch 0140/1203 loss=0.00005 avg_loss=0.01204 avg_acc=99.20
